word,definition
dilator,"empty, take all of, reduce, sap"
dilute,add liqui
dimension,size
diminish,"become l, slow dow"
diminutive,"small, tiny"
diplopia,seeing double
disallow,"reject, turn dow"
disc,"a disc is a round, flat plate. there are discs in your back
that sit between each of the back bones (called vertebra)
in your spine. these discs act as cushions that your back
bones don’t grind against each other and make you sore."
discard,throw aw
disclose,"show, uncover"
discoid,"empty, take all of, reduce, sap"
discoloration,"change in color, not the color it normally is, odd color"
discolouration,change in
discomfort,pain
disconnect,"turn off, undo, unplug"
discontinue,"stop, end, quit"
discuss,"talk about, talk with"
disease,"illness, sickness"
disembark,"get off, land, leave"
disguise,hide
disintegrate,"break up, crumble, fall apar"
diskectomy,"surgery to remove one of the rings between the bones
that make up the spine"
dislocation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dispatch,"issue, send"
display,show
disposition,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dissector,tool used to separate or cut apart tissue
disseminate,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dissociation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dissociative symptoms,"feeling disconnected from your surroundings, or
feeling unreal"
distal,"toward the end, away from the center of the body"
distended,"stretched out or swollen, such as a full bladder"
distinguish,"tell apart, set apart"
distribute,"hand ou, spread"
diuresis,increased discharge of urine
diuretic,"drug used to get excess water out of the body and
increase urine; ""water pill"""
diurnal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
diverticulectomy,surgery to remove abnormal pouch off the colon
diverticulitis,"inflammation of abnormal pouches coming off the
colon"
diverticulosis,abnormal pouches coming off the colon
divulge,"give, reveal, tell"
domicile,home
don,"get into, put on"
donate,to give
donation,"gift, present"
doppler,sound waves
doppler flow studies,"use of ultrasonography to see blood flow inside blood
vessels"
dorsal,having to do with the back of the body
dose,"amount of medicine, chemical, or radiation;"
double blind(ed),"a medical research study in which neither the
researchers nor the subjects know what treatment the
subjects is receiving"
double-barrier birth control methods,"condoms with spermicide, sponge with spermicide, or
diaphragm with spermicide"
double-blind,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
double-blind trial,"test or experiment in which neither the person giving
the treatment nor the patient knows which treatment
the patient is receiving"
down's syndrome,"birth disorder in which there is one extra chromosome,
mental retardation, and changed appearance of the
head, hands, and feet"
down’s syndrome,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
drowsy,sleepy
dubious,"doubtful, unsure"
duct,tube that carries a body fluid
ductus deferens,tube that carries sperm out of the testicle
duodenal ulcer,sore in the duodenum
duodenum,beginning part of the small intestine
duplicate,"copy, repeat"
dura mater,"outer layer of the meninges (membranes that surround
brain and spinal cord)"
duritis,inflammation of the dura mater
dust,"fine, dry earth, powdery dirt"
dwelling,home
dysarthria,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dyscrasia,"disorder, usually of the blood cells"
dysentery,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dysfunction,state of improper function
dyskinesia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dysmenorrhea,painful menstruation
dysmnenorrhea,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dyspepsia,"indigestion, heartburn"
"dyspepsia
e.g.","indigestion, for exampl"
dysphagia,trouble swallowing
dysphasia,difficulty speaking and putting words together
dysphonia,trouble with the voice and speaking
dysplasia,abnormal development or cell growth
dyspnea,trouble breathing
dystocia,difficult childbirth
dystonia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dystrophy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dysuria,pain when urinating
eccentric,"odd, strange"
ecchymosis,black and blue mark; bruise
echnocardiogram,"picture of the heart in motion made using
ultrasonography"
echocardiogram,sound wave test of the heart
echoencephalography,use of ultrasonography to record the shape of the brain
eclampsia,"convulsions in a pregnant woman caused by high blood
pressure and other medical problems"
economical,"cheap, thrifty"
economize,spend less
ectopic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ectopic pregnancy,"pregnancy growing outside the uterus, often in
fallopian tubes"
eczema,type of itchy skin rash
edema,swelling caused by fluid held in the tissues
edifice,building
effect,make
effective,"works well, good, strong"
effectiveness,working ability
effects,good and bad results
efferent,going away from the center of the body
efficacy,effectiveness
effusion,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ejaculation,"discharge of semen from the penis during the climax of
sexual intercourse"
elbow,"the elbow joins the upper arm to the lower arm so that
your arms can bend."
elect,choose
elective,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
"electrocardiogram
(ecg/ekg)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
electrocardiogram (ecg or ekg),picture of electrical tracing of heartbeat or heart rhythm
electrocardiograph,machine that records the electrical action of the heart
electrode,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
"electroencephalogram
(eeg)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
electroencephalogram (eeg),picture of electric brainwave tracing of brain activity
electroencephalograph,machine that records brain wave activity
electrolyte imbalance,imbalance of minerals in the blood
electrolytes,blood salts
electrophysiological,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
elevate,raise
elevation of liver function tests,proof of liver or kidney damage.
eliminate,"stop, end, drop, get rid of"
emaciated,"very thin, starving"
embolectomy,surgery to remove a blood clot
embolism,blood clo
embolus,blood clot
embolus; embolism,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
embryo,unborn baby from 2 to 8 weeks after it is formed
embryoid,looking like an embryo
embryology,the study of the development of the unborn baby
emesis,vomiting
emetic,"drug used to make a person vomit; useful in treating
poisoning"
eminent,"famous, high, noted"
emmetropia,"normal condition of the eye when light focuses
correctly on the retina"
emollient,substance that softens the skin
emphasize,"stress, underline"
emphysema,"a lung disease, chronic obstructive pulmonary"
empiric,based on experience
employ,"apply, hire, use"
encephalitis,inflammation of the brain
encephalomyeloradiculitis,"inflammation of the brain, the spinal cord, and the
spinal nerve roots"
encephalopathy,brain dysfunction
encephalosclerosis,hardening of the brain
encounter,"come upo, meet"
end point,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
endeavor,try
endocervicitis,inflammation of the inner lining of the cervix
endocrine,related to the hormone producing systems
endocrinologist,"doctor who treats disorders of the glands that make
hormones"
endocrinopathy,"disease of the glands that make hormones; hormonal
imbalance"
endogenous,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
endometriosis,"growths outside of the uterus made up of the tissues
that lines the uterus"
endometritis,inflammation of the inner lining of the uterus
endometrium,inner lining of the uterus
endophthalmitis,inflammation of the contents of the eye
endorphin,substance made by the body to stop pain
endorse,support
endoscope,"tool used to look into body structures and hollow
organs, such as the stomach"
endoscopic examination,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
"endoscopic retrograde
cholangiopancreatography (ercp)","x-ray of the bile and pancreatic ducts made using an
endoscope"
endoscopy,"a thin flexible tube with a microscopic camera at the
end which is passed down your throat into the
esophagus, stomach, and duodenum"
endosteum,tissue that lines the inside of bone
endothelium,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
endotracheal,inside the windpipe
enema,"liquid that is injected into the rectum to promote bowel
movement"
enhance,"add to, improve"
ensue,"develop, follow"
ensure,make sur
enteral,by way of the intestines
enteritis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
enterorrhaphy,surgery to stitch the intestine
enucleation,surgery to remove the eye
enuresis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
environment,"all the things around you in your daily life, at home"
envisage,"foresee, imagine, see"
envision,"foresee, imagine, see"
enzyme,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
epicondylitis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
epidemic,"disease that most people get, widespread sickness"
epidemiological,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
epidemiology,disease study
epidermal,having to do with the outer layer of the skin
epidermis,outer layer of skin
epididymis,tubes that stores and carries sperm
epidural,outside the spinal cord
epigastric region,area above the navel
epiglottis,"flap of skin that keeps food from going down the
windpipe"
epiglottitis,inflammation of the epiglottis
epilepsy,seizure disorder
epinephrine,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
epiphysis,growth area of a long bone
episioperineoplasty,surgery to fix the vulva and perineum
episiorrhaphy,stitching a tear in the vulva
episiotomy,"surgical cut in the vagina to keep it from tearing when
a baby is being born"
episode,"event, set amount of time, attack, brief time"
epistaxis,nosebleed
epithelial,having to do with the epithelium
epithelioma,"benign or malignant growth made up of epithelial
tissue"
epithelium,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
epizootic,widespread disease in animals
equanimity,balance
equilibrium,balance
equivalent,"equal, same"
equivalent of,equal to
eradicating,getting rid of (such as a disease)
erosions,"small pits, small holes in teeth or bones"
erosive esophagitis,"caused by gastroesophageal reflux; deterioration of the
protective lining on the inner wall of the lower
esophagus"
erroneous,"false, wrong"
eruption,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
erythema,redness
erythematosus,immune system disease
erythrocyte count,the number of erythrocytes in the blood
erythrocyte sedimentation rate (esr),"blood test that measures how long it takes for
erythrocytes to sink to the bottom of a tube- used to
check for inflammation in the body"
erythrocytes,cells in blood that carry oxygen; red blood cells
erythrocytosis,increase in number of red blood cells
erythroderma,red skin
escalate,step up
eschew,avoid
esophagogastroduodenoscopy,"use of an endoscope to look into the esophagus,
stomach, and duodenum"
esophagoscope,tool used to look into the esophagus
esophagoscopy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
esophagus,"swallowing tube that transports food from mouth to
stomach through the oral cavity, neck and chest"
estrogen,female sex hormone
estrogen receptor assay,"blood test used to detect tumor cells in patients with
breast cancer"
etiology,a blood test
eupnea,normal breathing
eustachian tube,tube that connects the middle ear and the throat
evaluate,"rate the level (of health/wellness), judge (the
health/wellness of)"
eversion,turning inside out
evident,"obvious, plain"
exacerbate,
exacerbation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
examination under anaesthesia,"any operation that happens after the doctor gives you
medicine to put you to sleep (anaesthesia). when you are
asleep, the doctors can do a better job without making you
feel sore."
exanthema,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
excessive,"too muc, undue"
excretion,the way that substances leave the body
exert,a blood test
exertion,a blood test
exfoliation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
exhale,breathe
exhibit,a blood test
exogenous,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
exonerate,"acquit, clear, free"
exophthalmic,has a bulging eyeball or eyeballs
exophthalmos,bulging of one or both eyeballs
exorbitant,"overpriced, too high"
exostosis,bony growth on the surface of a bone
expectorant,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
expectorate,"cough, spit out"
expedite,"push, speed up"
expenditure,"cost, expense, spending"
experience,a blood test
experimental drug,drug not approved for use by the us fda
experimental group,group receiving the experimental treatment
expertise,"know-how, knowledge, skill"
expiration,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
explicit,"clear, exact, precise"
exposure,a blood test
extend,a blood test
extension,the straight position of an arm or leg
extensive,"broad, large, roomy, wide"
exterminate,"destroy, wipe out"
external,outside the body
external auditory meatus,"opening or passageway between the outside of the ear
and the eardrum"
external ear,outside part of the ear
external genitalia,"sex organs on the outside of the body: penis, scrotum,
and urethra in men; vulva, clitoris, and urethra in
women"
"extinguish
fabricate","douse, put out, smother, build, lie, make, trump up"
extracorporeal,outside of the body
extrapyramidal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
extrasystole,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
extravasate,to leak outside of a blood vessel
extravasation,escape of blood from blood vessels and into tissue
facilitate,a blood test
factor,"cause, reason"
failed to,did not
fallacy,"error, fault, pitfall"
fallopian tube,"tube attached to the uterus down which the egg travels
from the ovary to the uterus"
familial hypercholesterolemia,"a sickness that means your blood has too much fat
(cholesterol) in it. this fat can block off your blood pipes
and make you more likely to have a heart attack or stroke.
high cholesterol can run in families, or it can be because of
eating too much fatty food like junk food."
fasciculation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
fast,a blood test
fasting blood sugar,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
fat,"the body has lots of fat cells that join to make fatty tissue.
fat is stored so that your body can use it when we need
fuel for energy. another function of fat is to keep your
body from becoming too cold."
fatigue,a blood test
feasible,a blood test
febrile,"caused by a fever, feverish"
feces,material excreted during bowel movement
femoral,having to do with the thigh area
femoropopliteal bypass,"surgery to make a passageway from one artery to
another in the leg"
femur,thigh bone
fertility,ability to have children
fetus,"unborn baby from 9 weeks afer it is formed until it is
born"
fever,an increase in body temperature
fibrillation,fast uncontrolled heart beat
fibroid tumor,growth made up of fibrous tissue
fibrous,"having many fibers, such as scar tissue"
fibula,the lower leg bone behind the shin
fimbria,"tissue that looks like a fringe on the end of the uterine
tubes"
finalize,"complete, end, finish"
first degree relative,"a patient’s spouse, mother, father, sister, brother, or
child"
fissure,crack or groove in tissue
fistula,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
flaccid,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
flare,a period of time when symptoms of a disease are
flatus,passing gas
flexible,"moving easily, stretch easily, bend and stretch"
flexion,bent position of the arm or leg
fluctuate,"rise and f, swing, waver"
"fluorescent treponemal antibody
absorption (fta-abs) test",blood test used to detect syphilis
follow-up,returning to see the doctor at a later time
"food and drug
administration (fda)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
food and drug administration (fda),government agency that regulates foods and drugs
foot,"the foot is the lowest part of lour leg, below the ankle
joint. when you stand up and walk, your feet are the parts
of your body that touch the ground."
forceps,"tool with two blades and a handle used for handling
tissue or dressings"
forehead,"the forehead is the top part of your face that is between
your hair and your eyes."
foreskin,"fold of skin that covers the penis and is removed in
circumcision"
fortunate,"happy, lucky"
forward,send
fracture,break
frequently,often
fulguration,use of electric sparks to remove tissue such as tumors
function,"act, live"
fundamental,"basic, real"
fundus,top of the uterus; or back of the eye
fungal,having to do with fungi
fungal test,test used to detect and identify a fungus
fungi,more than one fungus
fungus,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
furnish,"give, send"
"furthermore
generate","also, cause, make, produce"
furuncle,painful skin boil
gadolinium,"contrast material, similar to a dye, to make images
appear clearer"
gait,the way a person walks
galactorrhea,too much discharge of milk from the breast
gall bladder,"the gall bladder is a small bag that sits under your liver. it
stores up bile. the bile goes from your gall bladder to the
intestine. bile works to break up the fat that you eat."
gallbladder,small sack under the liver that holds bile
gamete,"sex cell, egg or sperm"
gamma globulin,"type of protein in the blood that helps the body fight
infection"
ganglion,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ganglionectomy,surgery to remove a ganglion
ganglionitis,inflammation of a ganglion
gangrene,"death of tissue caused by loss of blood flow and
usually followed by infection"
gastrectomy,surgery to remove all or part of the stomach
gastric lavage,washing the stomach out
gastric ulcer,sore in the stomach
gastriodynia,pain in the stomach
gastritis,inflammation of the stomach
gastroenteritis,stomach and intestines upset
gastroesophageal reflux disease (gerd),"frequent persistent heartburn, flow of bitter fluid into
mouth, difficulty swallowing, and upper abdominal
pain"
gastrointestinal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
gastroscope,tool used to look into the stomach
gastroscopy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
gastrostomy,"surgery to make an opening from the outside of the
body into the stomach"
gavage,"feeding a person through a tube that goes into the
stomach"
gene,"a strong medicine the doctor uses to make you sleep
during an operation, so you don’t feel pain and don’t know
what is happening. you wake up after the operation when
the anaesthetic medicine has stopped working in your
body."
general anesthesia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
generic name,chemical name for a drug
genes,"material passed from parent to child that determines the
make-up of the body and mind"
genetic,passed down from birth parents in the genes
genetics,"family traits, science or study of family traits or"
genital,having to do with the sex organs
genital herpes,"disease caused by a herpes virus in which there are
blisters on the genitalia"
genitalia,male and female sex organs
gestational,pertaining to pregnancy
gingiva,the gums
gingivectomy,surgery to remove gum tissue
gingivitis,inflammation of the gums
gland,"tissue that produces a material, such as the saliva or a
hormone"
glans penis,end of the penis
glaucoma,"eye disease, increased eye pressure; an eye disease"
glioblastoma,a type of brain or spine cancer.
globulin,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
globulins,proteins in the blood
glomerular filtration rate (gfr),small blood pipes (called blood vessels) in your kidneys.
glomerulonephritis,inflammation of the kidney
glomerulus,place in the kidney where urine is formed
glossitis,inflammation of the tongue
glossopathy,disease of the tongue
glossorrhaphy,surgery to stitch the tongue
glottis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
glucocorticoids,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
glucose,sugar
glucose tolerance test,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
glycosuria,sugar in urine
gonad,sex gland: female ovary or male testicle
gonorrhea,"type of bacterial infection in the sex organs and
sometimes in the skin and joints"
gout,"disorder in which crystals of uric acid deposit in and
around joints, causing pain and arthritis"
gradually,"slowly, over time"
grand mal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
granulocytopenia,drop in white blood cell count
growth hormone (gh),"hormone made by the pituitary gland that controls the
growth of the body"
guaiac test,test for blood in stool
gynecologist,doctor who treats disorders of the sex organs of women
gynecology,the study of the reproductive system of women
haematological,"a hematoma is like a bruise. a hematoma happens when
blood goes outside of your blood pipes. things that might
make this happen can be a punch or fall."
hair,"thin strands of protein that grow up from the hair
follicles"
hallucinate,see things that are not there
hallucinations,imagining things
hand,"your hands are attached to your wrist. hands are made up
of a palm, four fingers and a thumb. the palm is the middle
of your hand."
"hand and foot syndrome; palmar-plantar
erthrodyesthesia","palms of the hands or soles of the feet tingle, become
numb, painful swollen, or red"
hazard,"hazard, harmful, danger"
hazardous,"dangerous, risky, unsafe"
heart,muscle that moves or pumps blood through the body
heart block,"your head is the top part of your body that sits and turns
on your neck. it’s where your brain and face are."
heart failure,"when the heart inadequately pumps blood through the
body"
heart murmur,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hematemesis,blood in vomit
hematocrit,amount of red blood cells in the blood
hematocytopenia,not enough blood cells
hematological,related to the blood and blood forming organs
hematologist,doctor who treats blood disorders
hematology,the study of blood
hematoma,"a bruise, a black and blue mark"
hematopoiesis,the making of blood cells
hematosalpinx,blood in the uterine tube
hematuria,blood in the urine
hemicolectomy,"when one side of your body doesn’t work. this means your
leg and arm don’t move at all. this might happen because
of an injury or sickness in the brain."
hemiparesis,"muscle weakness or partial paralysis, usually with loss
of feeling, on half of the body"
hemiplegia,"total loss of muscle movement, usually with loss of
feeling, on half of the body"
hemodialysis,use of a machine to clean your blood
hemodynamic,related to blood flow
hemoglobin,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hemoglobin (hgb),"substance that carries oxygen and gives blood its red
color"
hemolysis,breakdown in red blood cells
hemolytic anemia,destruction of red blood cells
hemophilia,genetic defect in which blood clots too slowly
hemoptysis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hemorrhage,"bleeding, escape of blood from blood vessels"
hemorrhagic stroke,stroke due to bleeding
hemorrhoidectomy,surgery to remove hemorrhoids
hemorrhoids,twisted and bulging veins in the rectal area
hemostasis,the stopping of bleeding
hemothorax,blood in the chest cavity
heparin lock,"needle placed in the arm with blood thinner to keep the
blood from clotting"
hepatic,related to the liver
hepatitis,inflammation of the liver
hepatitis a,"hepatitis c is a virus that infects your liver and makes it
sick. sometimes it gets better by itself, but some people
need to take medicine for a few months to cure it. you can
catch hepatitis c from contact with someone’s blood if
they have it. there is no vaccine for hepatitis c."
hepatoma,growth on the liver
hepatomegaly,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hereinafter,"after this, following"
herewith is,here is
heritable disease,"a disease which can be transmitted to one's offspring
resulting in damage to future children."
hernia,"bulging of an organ through an abnormal opening in a
muscle wall"
herniated disk,"breaking of a ring-shaped pad in the spine, which often
pinches a nerve; slipped disk"
herniorrhaphy,surgery to fix a hernia
herpes,"groups of tiny blisters found on the skin caused by
infection with a herpes virus"
heterosexual,person who is attracted to the opposite sex
hiccup,"sudden, uncontrolled spasm of the diaphragm"
hidradenitis,inflammation of a sweat gland
highly,"very probably, mot likely, will probably happen"
hip,"the hip bone is the large bone on either side of the body
at the top of your legs."
hip bone,bone at the lower part of the body trunk
hirsutism,"abnormal hairiness (in women, an adult male pattern of
hair distribution)"
histology,the study of tissue under the microscope
histopathologic,pertaining to the disease status of body tissues or cells
histopathological,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hives,"rash; red, itchy swellings on your skin"
hodgkin's disease,a cancer of white blood cells
hodgkin’s disease,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
holter monitor,a portable machine for recording heart beats
homogeneous,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
homologous,"similar, like, alike"
homosexual,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hordeolum,infection of the oil glands of the eyelids; stye
hormonal birth control methods,"birth control pill, norplant, etc."
hormone,"chemical, natural or manmade chemical that effects"
hospital formulary,"list of drugs and their proper doses maintained by each
hospital"
host,person; animal
however,but
human immunodeficiency virus (hiv),"a life-threatening infection which you can get from an
infected person’s blood or from having sex with an
infected person"
humeral,having to do with the upper arm bone
humerus,upper arm bone
humidify,make moi
humourous,funny
hydration,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hydrocephalus,"increase in fluid in usually causing pressure on the
brain; water on the brain"
hydronephrosis,"abnormal collection of urine in the kidney causing a
swollen kidney"
hydrosalpinx,fluid in the uterine tube
hymen,fold of tissue at the opening of the vagina
hymenectomy,surgery to remove the hymen
hyperalgesia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hyperbaric,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hypercalcemia,too much calcium in the blood
hypercapnia,too much carbon dioxide in the blood
hyperemesis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hyperemia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hyperesthesia,very sensitive to touch
hyperglycemia,too much sugar in the blood
hyperkalemia,high blood potassium level
hyperkeratosis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hyperkinesis,overactive movements
hyperlipidemia,high cholesterol
hypernatremia,high blood sodium level
hyperopia,farsightedness
hyperplasia,abnormal increase in the number of normal cells
hypersensitivity,strong reaction
hypertension,high blood
hypertensive heart disease,heart problems caused by high blood pressure
hyperthyroidism,overactive thyroid gland
hypertonia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hypertrophy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hyperventilation,breathing that is too fast
hypnotic,drug used to make a person sleep
hypocalcemia,not enough calcium in the blood
hypocapnia,not enough carbon dioxide on the blood
hypochondriac region,area to the right or left above the naval
hypodermic,under the skin
hypodermic injection,injection of a substance under the skin
hypoesthesia,"state of having less than normal sensitivity to
stimulation"
hypogastric region,area below the naval
hypoglycemia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hypokalemia,not enough potassium in the blood
hypomania,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hyponatremia,low blood sodium level
hyponea,"weak, slow breathing"
hyposensitivity,weak reaction
hypospadias,"birth defect in which the urethra opens under the penis
instead of the tip of the penis"
hypotension,low blood pressure
"hypotension
i.e.","low blood, that is"
hypothermia,low body temperature
hypothesis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hypothyroidism,underactive thyroid gland
hypotonia,decreased muscle tone
hypoventilation,too little air entering the lungs
hypoxemia,not enough oxygen in the blood
hypoxia,not enough oxygen in the tissues
hysteratresia,"birth defect in which the uterus does not open to the
outside of the body"
hysterectomy,surgery to remove the uterus
hysteropexy,surgery to fasten down the uterus in its normal position
"hysterosalpingo-
oophorectomy","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
hysterosalpingo-oophorectomy,"surgery to remove all of the internal female
reproductive organs"
hysterosalpingography,"taking an x-ray of the uterus and the uterine tubes using
a dye to outline them"
hysteroscope,tool used to look into the uterus
iatrogenic,caused by a physician or by treatment
iatrology,the science of medicine
icterus,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
identical,the same
ideology,"beliefs, ideas"
idiopathic,of unknown cause
idiosyncrasy,"rare side effect of a drug; unusual reaction of a person
to a drug"
ileocecal,having to do with the ileum and the cecum
ileum,third and last part of the small intestine
ileus,blockage of the intestines
iliac regions,areas to the right and left below the naval
iliofemoral,having to do with the hip and thigh bones
ilium,wing-shaped upper part of the hip bone
illuminate,"light up, make brig, make clea"
illustrate,"show, draw, picture"
illustration,picture
immediately,"at once, right away"
immense,"huge, vast"
immerse,completely
immobilization,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
immovable,"firm, fixed, set"
immune,when your body can protect itself from a disease;
immune globulins,"proteins that help protect the body from infection and
foreign matter"
immune system,"the cells and substances that protect the body from
infection and foreign matter"
immunity,protection against infection
immunization,getting a vaccine (shot)
immunize,"to protect again disease, usually by a shot"
immunodeficiency,weakness of the immune system
immunoglobin,a protein that makes antibodies
immunoglobulins,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
immunological,related to the immune system
immunosuppresive,"drug which suppresses the body's immune response,
used in transplantation and diseases caused by
disordered immunity"
immunosupression,when your body can’t fight disease
immunotherapy,medical treatment that helps your body fight off
impaired function,abnormal function
impartial,"fair, just, neutral"
impeccable,"flawless, perfect"
impedance plethysmography,test used to find blood clots
impede,"hamper, hinder, slow, stall"
imperative,"pressing, urgent, vital"
imperceptible,"hard to see, hidden"
impetigo,skin infection
impetus,"push, spur, urge"
implanted,placed in the body
implement,"start, begin"
impolite,rude
impostor,"cheat, fraud, pretender"
impotent,"helpless, powerless, weak"
in situ,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
in vitro,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
in vivo,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
inaccuracy,"error, mistake"
inadvertently,without m
inadvisable,"risky, unwise"
inasmuch as,since
inaugurate,"begin, launch"
incarcerate,"imprison, jail"
inception,"beginning, start"
incidence,number of sick people
incidential,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
incise,cut
incision,cut
incisors,"front teeth, front “biting” teeth"
incite,"goad, prod, rouse"
inclement,"harsh, nasty, stormy"
inclusion criteria,"the characteristics a subject must have to be included in
a medical research study"
incompetent,"inept, unfit"
incomprehensible,"baffling, hard to un"
inconceivable,"beyond be, beyond im"
incontinence,not able to control bladder or bowel actions
incorrect,"wrong, fal"
increase,"add to, raise"
indicate,"suggest, point to"
indication,sign
indigenous,native
indignant,"angry, upset"
indispensable,"essential, much-needed, vital"
individual,"man, person, woman"
induction phase,beginning phase or stage of a treatment
induration,hard spot
indwelling,"remaining in a given location, such as a catheter"
ineffectual,"not effective, useless"
inexpensive,"cheap, low-priced, modest"
infant,baby
infarct,death of tissue because of lack of blood supply
infarction,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
infect,"disease spread by germ or virus, to get sick, to make"
infection,"illness caused by germs, a sickness you get from"
infectious,something that can spread disease
infectious disease,disease which is transmitted from one person to next
inferior,toward the lower part of the body
inflame,"make hot, red, or swollen; swollen"
inflammation,pain and swelling
inflammatory bowel disease (ibd),"crohn’s disease, ulcerative colitis, indeterminate colitis"
inflexible,"firm, rigid, stiff"
influenza,flu
inform,flu
infusion,flu
ingestion,flu
inhalant,"substance given through the nose or mouth to reach the
lungs"
